,Rank,Name,Age,Exp,G,Rsh,RshYd,RshTD,Rec,RecYd,Y/Rec,RecTD,FP/G,FantPt,week,year,position
143,144,Darnell Mooney CHI,26.0,4.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
144,145,Jalen Nailor MIN,24.0,2.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
145,146,Demarcus Robinson LAR,29.0,8.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
146,147,Justyn Ross KC,24.0,2.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
147,148,Tyler Scott CHI,22.0,1.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
148,149,Trent Sherfield BUF,27.0,6.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
149,150,Trent Taylor CHI,29.0,7.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
150,151,Cody Thompson SEA,27.0,5.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
151,152,Cedric Tillman CLE,23.0,1.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
152,153,Mitchell Tinsley WAS,24.0,1.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
153,154,Austin Trammell LAR,25.0,3.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
154,155,Tylan Wallace BAL,24.0,3.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
155,156,Quez Watkins PHI,25.0,4.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
156,157,Kristian Wilkerson LV,26.0,4.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
157,158,Olamide Zaccheaus PHI,26.0,5.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
158,159,Velus Jones Jr CHI,26.0,2.0,1,1,-3,0,0,0,,0,-0.3,-0.3,2,2023,wr
