,Rank,Name,Age,Exp,G,Rsh,RshYd,Y/Rsh,RshTD,Rec,RecYd,RecTD,FP/G,FantPt,week,year,position
76,77,Michael Burton DEN,31.0,9.0,1,1,3,3.0,0,0,0,0,0.3,0.3,2,2023,rb
77,78,DeeJay Dallas SEA,25.0,4.0,1,1,3,3.0,0,0,0,0,0.3,0.3,2,2023,rb
78,79,Isaiah Spiller LAC,22.0,2.0,1,1,3,3.0,0,0,0,0,0.3,0.3,2,2023,rb
79,80,Chase Brown CIN,23.0,1.0,1,1,2,2.0,0,0,0,0,0.2,0.2,2,2023,rb
80,81,Patrick Taylor GB,25.0,4.0,1,1,1,1.0,0,0,0,0,0.1,0.1,2,2023,rb
81,82,Nick Bawden NYJ,27.0,6.0,1,0,0,,0,0,0,0,0.0,0.0,2,2023,rb
82,83,Tank Bigsby JAX,22.0,1.0,1,0,0,,0,0,0,0,0.0,0.0,2,2023,rb
83,84,Khari Blasingame CHI,27.0,5.0,1,0,0,,0,0,0,0,0.0,0.0,2,2023,rb
84,85,Gary Brightwell NYG,24.0,3.0,1,0,0,,0,0,0,0,0.0,0.0,2,2023,rb
85,86,Jason Cabinda DET,27.0,6.0,1,0,0,,0,0,0,0,0.0,0.0,2,2023,rb
86,87,Julius Chestnut TEN,23.0,2.0,1,0,0,,0,0,0,0,0.0,0.0,2,2023,rb
87,88,C.J. Ham MIN,30.0,8.0,1,0,0,,0,0,0,0,0.0,0.0,2,2023,rb
88,89,Godwin Igwebuike ATL,29.0,6.0,1,0,0,,0,0,0,0,0.0,0.0,2,2023,rb
89,90,Alec Ingold MIA,27.0,5.0,1,0,0,,0,0,0,0,0.0,0.0,2,2023,rb
90,91,Jakob Johnson LV,29.0,5.0,1,0,0,,0,0,0,0,0.0,0.0,2,2023,rb
91,92,Kyle Juszczyk SF,32.0,11.0,1,0,0,,0,0,0,0,0.0,0.0,2,2023,rb
92,93,Hunter Luepke DAL,23.0,1.0,1,0,0,,0,0,0,0,0.0,0.0,2,2023,rb
93,94,Adam Prentice NO,26.0,3.0,1,0,0,,0,0,0,0,0.0,0.0,2,2023,rb
94,95,Patrick Ricard BAL,29.0,7.0,1,0,0,,0,0,0,0,0.0,0.0,2,2023,rb
95,96,Chris Rodriguez Jr. WAS,23.0,1.0,1,0,0,,0,0,0,0,0.0,0.0,2,2023,rb
96,97,Keith Smith ATL,31.0,10.0,1,0,0,,0,0,0,0,0.0,0.0,2,2023,rb
